"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
K8P,,20897,9359,8980
K8R,,1509,543,542
K8V,,27035,11384,10805
K9A,,24294,9815,9468
K9H,,26141,12476,11560
K9J,,45021,19696,18241
K9K,,11544,4342,4207
K9L,,5610,2136,2066
K9V,,25644,11197,10366
L0A,,13783,4943,4790
L0B,,15662,5917,5464
L0C,,9146,3280,3131
L0E,,19877,8948,7443
L0G,,40875,13985,13660
L0H,,3634,1202,1166
L0J,,4236,1316,1287
L0K,,34562,21122,13543
L0L,,43655,19823,15586
L0M,,31683,12157,10869
L0N,,19167,7160,6636
L0P,,9837,3468,3326
L0R,,77913,27428,26578
L0S,,50300,21951,19183
L1A,,14952,6009,5769
L1B,,9971,3782,3686
L1C,,35148,12640,12229
L1E,,22939,7894,7596
L1G,,41791,18194,17370
L1H,,32035,13798,13182
L1J,,42745,17054,16300
L1K,,23890,7842,7668
L1L,,1311,651,473
L1M,,14859,5002,4880
L1N,,46372,17410,16982
L1P,,15285,4856,4756
L1R,,33598,10507,10271
L1S,,39021,14203,13807
L1T,,39185,11433,11176
L1V,,51211,17012,16517
L1W,,17002,6182,5985
L1X,,15944,4573,4482
L1Y,,2163,743,715
L1Z,,11968,3901,3635
L2A,,16703,7261,6732
L2E,,21694,9923,9360
L2G,,25742,11122,10585
L2H,,19027,6574,6417
L2J,,14783,5911,5783
L2M,,32866,14266,13778
L2N,,31373,13256,12944
L2P,,13338,5790,5479
L2R,,24733,12053,11039
L2S,,17920,6910,6576
L2T,,10744,5230,4627
L2V,,15764,6723,6137
L2W,,1914,608,599
L3B,,22371,9910,9473
L3C,,30341,12502,12081
L3K,,18850,8625,7933
L3M,,23556,8824,8623
L3P,,39676,13053,12593
L3R,,58921,17422,16685
L3S,,55229,13898,13347
L3T,,47327,17514,16810
L3V,,42152,18576,16714
L3X,,30776,9598,9402
L3Y,,47099,17458,16824
L3Z,,22378,7547,7383
L4A,,20780,7748,7407
L4B,,34351,10428,9960
L4C,,68546,24597,23691
L4E,,28692,9332,8830
L4G,,47625,16031,15657
L4H,,40896,11513,11355
L4J,,68897,21847,21173
L4K,,16256,4908,4804
L4L,,55311,16708,16299
L4M,,41072,16759,15984
L4N,,91116,32937,31939
L4P,,26718,9858,9298
L4R,,17846,7890,7510
L4S,,31130,8676,8523
L4T,,38170,11343,10860
L4V,,0,0,0
L4W,,22040,7511,7325
L4X,,19237,6828,6578
L4Y,,23585,8919,8685
L4Z,,33483,10472,10192
L5A,,46884,18316,17463
L5B,,49800,19668,17767
L5C,,30535,9998,9583
L5E,,12538,5266,5069
L5G,,19465,8644,8122
L5H,,17845,6515,6261
L5J,,28114,10171,9951
L5K,,14554,4718,4573
L5L,,46667,15204,14757
L5M,,80524,24292,23532
L5N,,84180,26825,26066
L5P,,5,1,1
L5R,,33773,10907,10445
L5S,,5,4,1
L5T,,26,5,4
L5V,,47852,12818,12503
L5W,,19245,5308,5153
L6A,,53324,14988,14634
L6B,,7783,3484,2496
L6C,,33780,9728,9511
L6E,,18589,5979,5652
L6G,,222,83,76
L6H,,54930,18494,17868
L6J,,25200,8679,8388
L6K,,12287,5719,5353
L6L,,26283,10469,10064
L6M,,46920,15470,14858
L6P,,33669,8369,7988
L6R,,56600,13882,13418
L6S,,52690,16588,16125
L6T,,36496,12864,12463
L6V,,40476,13930,13194
L6W,,20864,7587,7234
L6X,,41969,13116,12636
L6Y,,66797,20380,19475
L6Z,,32331,9423,9151
L7A,,51831,14636,14222
L7B,,7809,2615,2533
L7C,,15066,5119,4913
L7E,,33081,10597,10335
L7G,,40970,14077,13741
L7J,,13315,4836,4717
L7K,,7914,2843,2636
L7L,,42945,16357,15750
L7M,,35670,12747,12458
L7N,,12924,5458,5317
L7P,,27016,9762,9622
L7R,,16187,7824,7403
L7S,,11748,6026,5691
L7T,,14975,6148,5955
L8E,,35617,12992,12586
L8G,,22304,9036,8866
L8H,,26630,11481,10864
L8J,,20707,6591,6429
L8K,,32197,13952,13400
L8L,,32633,14104,12859
L8M,,14186,7006,6270
L8N,,14401,8092,7212
L8P,,22459,13455,12381
L8R,,10698,5284,4778
L8S,,14731,8404,6700
L8T,,19275,7796,7620
L8V,,21236,9406,9131
L8W,,25542,7963,7847
L9A,,23484,9569,9357
L9B,,19128,6407,6244
L9C,,39504,14321,13957
L9G,,21730,7539,7361
L9H,,31839,12148,11809
L9K,,8655,2598,2508
L9L,,14435,5543,5274
L9M,,14015,7321,5362
L9N,,8885,2925,2883
L9P,,15080,5501,5296
L9R,,14595,5825,5605
L9S,,23448,9562,8587
L9T,,49626,17409,17002
L9V,,684,187,185
L9W,,35749,12677,12327
L9Y,,20135,12230,8519
L9Z,,14933,9655,6200
M1B,,65129,19729,18893
M1C,,34668,10758,10483
M1E,,45446,17144,16300
M1G,,29476,10341,9883
M1H,,23244,8887,8434
M1J,,35354,12825,11890
M1K,,46913,18230,17318
M1L,,27997,10809,10357
M1M,,21463,8427,8100
M1N,,21305,9400,8907
M1P,,40946,15269,14347
M1R,,28316,11123,10500
M1S,,35746,11322,10956
M1T,,34213,12658,12156
M1V,,55250,15962,15589
M1W,,50572,16606,16253
M1X,,13425,3331,3278
M2H,,26345,9026,8731
M2J,,54391,19592,18970
M2K,,17079,7537,6967
M2L,,11917,4188,4028
M2M,,29965,11559,11068
M2N,,60164,28396,26290
M2P,,7601,3114,2894
M2R,,37931,15548,14645
M3A,,33627,13285,12635
M3B,,13253,5192,5023
M3C,,35954,14939,14265
M3H,,32859,13565,12718
M3J,,23668,9801,8705
M3K,,5658,2260,2077
M3L,,16051,6004,5556
M3M,,23112,9306,8695
M3N,,42203,14372,13440
