"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
T8W,,11399,3803,3714
T8X,,6931,2378,2304
T9A,,14920,6159,5915
T9C,,6749,3010,2847
T9E,,19559,7677,7460
T9G,,6297,2359,2316
T9H,,26775,11081,9705
T9J,,4592,1733,1597
T9K,,18654,7072,6181
T9M,,15155,5897,5307
T9N,,10027,4107,3731
T9S,,7231,3474,2825
T9V,,17473,6889,6596
T9W,,6972,2965,2695
T9X,,5828,2454,2282
V0A,,13335,7277,5505
V0B,,31464,18655,13694
V0C,,28027,11600,10223
V0E,,64993,34138,27498
V0G,,25704,12771,11200
V0H,,51389,24883,22220
V0J,,54769,23810,20540
V0K,,33382,17908,14242
V0L,,5480,2737,2053
V0M,,10419,5151,4196
V0N,,79627,46549,33507
V0P,,7310,4473,3168
V0R,,60717,29236,25400
V0S,,13947,6207,5582
V0T,,9179,4337,3674
V0V,,2248,864,735
V0W,,461,444,233
V0X,,20156,10341,8595
V1A,,7058,3649,3226
V1B,,18618,7700,6907
V1C,,23395,9939,9619
V1E,,17719,7563,7153
V1G,,14151,6116,5863
V1H,,7983,3551,3201
V1J,,22427,8986,8671
V1K,,9352,4074,3764
V1L,,15304,7354,6795
V1M,,28214,10207,9914
V1N,,11242,5000,4737
V1P,,5761,2069,2010
V1R,,9495,4801,4495
V1S,,9027,3585,3413
V1T,,30113,15078,13513
V1V,,16292,6786,6315
V1W,,28265,12225,11420
V1X,,30548,14514,12217
V1Y,,29934,15639,14509
V1Z,,12534,5262,4842
V2A,,35484,17176,16115
V2B,,35706,14862,14369
V2C,,21563,10438,9642
V2E,,13045,5048,4924
V2G,,18554,7869,7474
V2H,,5017,2132,1960
V2J,,21979,9849,8927
V2K,,20116,7977,7568
V2L,,9659,4804,4320
V2M,,23558,10549,9828
V2N,,29554,11495,10933
V2P,,33774,14581,14018
V2R,,37497,14890,14113
V2S,,44540,17974,17276
V2T,,50790,17593,16884
V2V,,31420,11791,11200
V2W,,13032,4496,4230
V2X,,44556,18156,17055
V2Y,,16401,6404,5935
V2Z,,14960,5940,5588
V3A,,39465,16788,16061
V3B,,45305,17548,16815
V3C,,35299,13061,12401
V3E,,29452,9406,9022
V3G,,19416,6685,6473
V3H,,30777,11935,11215
V3J,,37039,15202,14499
V3K,,27209,11114,10449
V3L,,22930,10775,10238
V3M,,35625,17899,16815
V3N,,33294,12592,11962
V3R,,49499,19165,17865
V3S,,89630,30657,29039
V3T,,27532,11680,10721
V3V,,42888,14011,12905
V3W,,81101,25927,24380
V3X,,18080,5702,5417
V3Y,,15875,6224,5892
V4A,,35508,15166,14644
V4B,,18754,10191,9525
V4C,,39425,13179,12458
V4E,,12196,3863,3744
V4G,,142,67,56
V4K,,23691,9105,8774
V4L,,7749,3566,3376
V4M,,14192,5628,5420
V4N,,40529,12846,12234
V4P,,10466,4173,4059
V4R,,11389,3857,3662
V4S,,5221,1964,1860
V4T,,21546,8961,8411
V4V,,11610,5429,4637
V4W,,18807,7152,6670
V4X,,9767,3249,3133
V4Z,,2608,962,865
V5A,,22341,8494,7873
V5B,,20843,8031,7622
V5C,,23523,9917,9357
V5E,,23291,9486,9037
V5G,,18489,7143,6754
V5H,,34297,16518,15445
V5J,,18081,6789,6192
V5K,,22345,8519,7940
V5L,,19128,10377,9766
V5M,,21907,7754,7356
V5N,,31290,13383,12525
V5P,,30157,10148,9566
V5R,,44460,16409,15242
V5S,,26584,9877,9511
V5T,,20859,12075,11142
V5V,,22568,8940,8159
V5W,,19254,7235,6694
V5X,,27515,8989,8337
V5Y,,11450,5205,4855
V5Z,,20044,10319,9593
V6A,,17168,10509,9422
V6B,,15184,10528,9247
V6C,,1791,1169,824
V6E,,23966,16693,15050
V6G,,25812,18190,16637
V6H,,16631,10009,9433
V6J,,20498,12186,11433
V6K,,25168,14425,13421
V6L,,10732,3948,3735
V6M,,16864,7229,6868
V6N,,14248,4969,4702
V6P,,30958,12738,12169
V6R,,18935,8896,8243
V6S,,8579,3235,3067
V6T,,11232,5889,4537
V6V,,10544,3409,3230
V6W,,1104,454,368
V6X,,23587,8743,8120
V6Y,,39116,16492,15513
V6Z,,15754,10509,8883
V7A,,24624,8345,8104
V7B,,769,298,287
V7C,,38058,13398,12901
V7E,,36659,13228,12894
V7G,,11495,4443,4228
V7H,,12294,4460,4349
V7J,,15108,5803,5573
V7K,,11995,4219,4088
V7L,,23210,11462,10764
V7M,,16990,9204,8681
V7N,,14465,5486,5271
V7P,,11150,5047,4788
V7R,,14720,5219,5019
V7S,,10564,4002,3690
V7T,,9080,4203,3868
V7V,,14903,7102,6629
V7W,,8514,3457,3143
V7X,,5,4,2
V7Y,,5,1,1
V8A,,17745,8663,7818
V8B,,2502,1157,967
V8C,,8992,4257,3628
V8G,,18587,7906,7192
V8J,,12945,6009,5113
V8K,,9663,5210,4330
V8L,,22660,10268,9666
V8M,,15275,6408,6150
V8N,,24490,9962,9360
V8P,,17313,9359,7569
V8R,,22994,11276,10711
V8S,,16860,8321,7834
V8T,,18500,9762,9248
V8V,,24398,15880,14623
V8W,,3465,2269,2051
V8X,,22633,10319,9874
V8Y,,9561,3975,3804
V8Z,,27590,11104,10699
V9A,,35403,18429,17494
V9B,,32949,13228,12595
V9C,,17466,6759,6416
V9E,,4924,1965,1863
V9G,,13496,5994,5614
V9H,,7263,2906,2761
V9J,,8392,3754,3262
V9K,,14516,7185,6528
V9L,,32214,13415,12996
V9M,,15460,6927,6630
V9N,,26428,12216,11593
V9P,,22605,10995,10307
V9R,,24395,11380,10630
V9S,,15533,7625,7264
V9T,,28096,11951,11583
V9V,,9936,3854,3750
V9W,,27643,12141,11519
V9X,,8962,3510,3370
V9Y,,25468,11694,10850
X0A,,15713,5086,4387
X0B,,5361,1579,1371
X0C,,8348,2359,2080
X0E,,21858,9274,7323
X0G,,614,233,186
X1A,,19044,7284,6732
Y0A,,1841,1049,772
Y0B,,6009,4316,2681
Y1A,,22522,9931,9162
